City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
255,zemio,5.0314,25.1361,71.44,88,100,2.98,CF,2023-04-17 03:58:29
256,landau,49.2075,8.1133,48.52,84,100,5.64,DE,2023-04-17 03:58:29
257,veranopolis,-28.9361,-51.5494,64.53,100,99,1.3,BR,2023-04-17 03:57:01
258,moose factory,51.2585,-80.6094,33.8,86,100,10.36,CA,2023-04-17 03:58:30
259,yulara,-25.2406,130.9889,70.34,29,0,13.0,AU,2023-04-17 03:58:30
260,katsuura,35.1333,140.3,57.24,67,37,8.5,JP,2023-04-17 03:58:30
261,port macquarie,-31.4333,152.9167,71.89,62,35,13.18,AU,2023-04-17 03:54:40
262,vardo,70.3705,31.1107,31.98,74,100,5.75,NO,2023-04-17 03:58:31
263,morgantown,39.6295,-79.9559,52.9,94,100,5.75,US,2023-04-17 03:53:47
264,pacific grove,36.6177,-121.9166,56.01,80,0,11.5,US,2023-04-17 03:56:59
265,batagay-alyta,67.8006,130.4114,23.59,83,96,4.14,RU,2023-04-17 03:58:31
266,grindavik,63.8424,-22.4338,46.87,93,100,12.66,IS,2023-04-17 03:58:31
267,vitim,59.4511,112.5578,24.22,64,60,5.75,RU,2023-04-17 03:58:32
268,taganak,6.0833,118.3,89.74,73,5,5.66,PH,2023-04-17 03:58:33
269,carnarvon,-24.8667,113.6333,80.19,30,100,7.34,AU,2023-04-17 03:58:33
270,tres lagoas,-20.7511,-51.6783,72.73,83,1,4.05,BR,2023-04-17 03:58:33
271,santa lucia,27.9117,-15.5407,58.77,63,40,6.91,ES,2023-04-17 03:58:34
272,bintulu,3.1667,113.0333,90.01,66,40,3.44,MY,2023-04-17 03:58:34
273,revelstoke,50.9832,-118.2023,41.02,100,100,4.61,CA,2023-04-17 03:58:34
274,calvinia,-31.4707,19.776,62.29,20,0,7.94,ZA,2023-04-17 03:58:34
275,laguna,38.421,-121.4238,60.31,71,0,8.05,US,2023-04-17 03:58:35
276,mill valley,37.906,-122.545,54.63,82,77,14.0,US,2023-04-17 03:57:59
277,xingyi,24.1877,102.817,82.98,19,42,15.23,CN,2023-04-17 03:58:35
278,nyrob,60.733,56.7202,32.29,86,98,4.7,RU,2023-04-17 03:58:36
279,sitka,57.0531,-135.33,49.89,43,75,4.61,US,2023-04-17 03:58:36
280,at-bashi,41.1702,75.8106,46.13,65,99,2.75,KG,2023-04-17 03:58:36
281,cabo san lucas,22.8909,-109.9124,72.52,70,42,11.23,MX,2023-04-17 03:58:36
282,sur,22.5667,59.5289,84.07,46,12,3.44,OM,2023-04-17 03:58:37
283,melchor de mencos,17.0686,-89.1522,82.4,78,0,13.42,GT,2023-04-17 03:58:37
284,sarankhola,22.3082,89.7897,100.65,31,20,5.03,BD,2023-04-17 03:58:37
285,atar,20.5169,-13.0499,77.97,22,0,4.76,MR,2023-04-17 03:58:37
286,taywarah,33.35,64.4167,47.01,64,100,5.14,AF,2023-04-17 03:58:38
287,koutsouras,35.0339,25.9469,60.12,80,74,2.19,GR,2023-04-17 03:58:38
288,port hedland,-20.3167,118.5667,86.05,21,9,11.5,AU,2023-04-17 03:58:38
289,margate,51.3813,1.3862,46.9,88,99,1.01,GB,2023-04-17 03:56:14
290,bambous virieux,-20.3428,57.7575,80.22,94,75,2.3,MU,2023-04-17 03:58:39
291,ossora,59.2353,163.0719,32.22,100,100,5.77,RU,2023-04-17 03:58:39
292,adela,12.4416,120.9729,88.9,57,99,9.75,PH,2023-04-17 03:58:39
293,goderich,43.7501,-81.7165,46.9,93,86,11.5,CA,2023-04-17 03:58:39
294,vao,-22.6667,167.4833,79.81,87,99,14.56,NC,2023-04-17 03:58:40
295,richards bay,-28.783,32.0377,60.84,90,0,7.65,ZA,2023-04-17 03:58:40
296,ciudad bolivar,8.1222,-63.5497,82.65,57,93,12.93,VE,2023-04-17 03:58:40
297,sao filipe,14.8961,-24.4956,74.41,80,10,10.11,CV,2023-04-17 03:58:40
298,pangnirtung,66.1451,-65.7125,1.36,96,93,3.78,CA,2023-04-17 03:58:41
299,blagoyevo,63.3667,47.9167,27.86,90,97,3.0,RU,2023-04-17 03:58:41
300,poum,-20.2333,164.0167,78.19,89,98,24.96,NC,2023-04-17 03:58:41
301,ostersund,63.1792,14.6357,32.61,100,100,5.01,SE,2023-04-17 03:58:42
302,ifakara,-8.1333,36.6833,70.63,97,98,1.19,TZ,2023-04-17 03:58:42
303,kudahuvadhoo,2.6708,72.8944,82.81,70,53,2.89,MV,2023-04-17 03:58:43
